cycles/px,mtf,lp/mm
0,1,4284
0.001956947,0.997570709,4273.592917
0.003913894,0.99032675,4242.559796
0.005870841,0.978398462,4191.459009
0.007827789,0.961998447,4121.201346
0.009784736,0.941414831,4033.021136
0.011741683,0.917002209,3928.437464
0.01369863,0.889170652,3809.207072
0.015655577,0.85837321,3677.270833
0.017612524,0.825092424,3534.695944
0.019569472,0.78982636,3383.616125
0.021526419,0.753074734,3226.17216
0.023483366,0.715325649,3064.45508
0.025440313,0.677043441,2900.4541
0.02739726,0.638658083,2736.011228
0.029354207,0.600556507,2572.784075
0.031311155,0.563076108,2412.218047
0.033268102,0.526500603,2255.528585
0.035225049,0.491058277,2103.693657
0.037181996,0.456922539,1957.456158
0.039138943,0.424214615,1817.335411
0.04109589,0.393008042,1683.646453
0.043052838,0.363334619,1556.52551
0.045009785,0.335191347,1435.959732
0.046966732,0.30854791,1321.819247
0.048923679,0.283354243,1213.889575
0.050880626,0.259547775,1111.902668
0.052837573,0.237060021,1015.56513
0.054794521,0.215822248,924.582511
0.056751468,0.195770067,838.6789672
0.058708415,0.176846852,757.6119127
0.060665362,0.159005981,681.1816241
0.062622309,0.142211953,609.2360056
0.064579256,0.126440463,541.6709439
0.066536204,0.111677603,478.4268525
0.068493151,0.097918336,419.4821527
0.070450098,0.085164465,364.844569
0.072407045,0.073422324,314.541238
0.074363992,0.062700454,268.6087464
0.076320939,0.053007545,227.0843223
0.078277886,0.04435095,189.9994713
0.080234834,0.036736054,157.3772549
0.082191781,0.030166605,129.2337376
0.084148728,0.024645602,105.5817592
0.086105675,0.020174755,86.4286485
0.088062622,0.016747542,71.74646924
0.090019569,0.014328517,61.38336673
0.091976517,0.012820172,54.92161615
0.093933464,0.012045117,51.60128129
0.095890411,0.01177756,50.45506885
0.097847358,0.011805971,50.57677965
0.099804305,0.011974268,51.29776535
0.101761252,0.012185087,52.20091066
0.1037182,0.012383892,53.05259254
0.105675147,0.0125418,53.72907026
0.107632094,0.012643526,54.16486587
0.109589041,0.012680587,54.32363461
0.111545988,0.012648118,54.18453603
0.113502935,0.0125437,53.73720915
0.115459883,0.012367043,52.98041112
0.11741683,0.01211984,51.92139591
0.119373777,0.01180549,50.57471848
0.121330724,0.011428632,48.96025762
0.123287671,0.010994604,47.10088535
0.125244618,0.010508974,45.02044393
0.127201566,0.009977268,42.74261508
0.129158513,0.009404992,40.29098532
0.13111546,0.00879791,37.69024432
0.133072407,0.008162492,34.96811675
0.135029354,0.007506399,32.15741496
0.136986301,0.006838832,29.29755452
0.138943249,0.006170633,26.43499075
0.140900196,0.005514068,23.62226703
0.142857143,0.004882275,20.91566719
0.14481409,0.00428847,18.37180695
0.146771037,0.00374507,16.04388144
0.148727984,0.003262999,13.97868967
0.150684932,0.002851496,12.21580796
0.152641879,0.002518633,10.78982565
0.154598826,0.002272263,9.734375104
0.156555773,0.002120093,9.082476454
0.15851272,0.002067109,8.855493826
0.160469667,0.002110586,9.041750504
0.162426614,0.002236736,9.582178812
0.164383562,0.002422433,10.37770284
0.166340509,0.002640039,11.30992635
0.168297456,0.002861558,12.25891241
0.170254403,0.003060946,13.11309279
0.17221135,0.0032153,13.7743438
0.174168297,0.003305638,14.16135118
0.176125245,0.003317565,14.21244676
0.178082192,0.003241819,13.88795228
0.180039139,0.003074632,13.17172263
0.181996086,0.002817832,12.07159438
0.183953033,0.002478657,10.61856768
0.18590998,0.002069254,8.864685205
0.187866928,0.001605904,6.879694771
0.189823875,0.001108004,4.746688146
0.191780822,0.000596878,2.557024121
0.193737769,9.49E-05,0.406680293
0.195694716,0.000378597,1.621907982
0.197651663,0.000802125,3.436303454
0.199608611,0.00116057,4.971882348
0.201565558,0.001441828,6.176793098
0.203522505,0.001638545,7.019528283
0.205479452,0.001748449,7.490354705
0.207436399,0.001774404,7.601545574
0.209393346,0.001724161,7.386306521
0.211350294,0.001609823,6.896479603
0.213307241,0.001447052,6.199170992
0.215264188,0.001254068,5.372425803
0.217221135,0.001050384,4.49984612
0.219178082,0.000855119,3.663327838
0.221135029,0.000684312,2.931594721
0.223091977,0.000546569,2.341501775
0.225048924,0.00043806,1.876647281
0.227005871,0.000342223,1.466083099
0.228962818,0.000238082,1.019941856
0.230919765,0.000113678,0.486995688
0.232876712,8.80E-05,0.377013724
0.234833659,0.000273833,1.173100805
0.236790607,0.000497947,2.133204736
0.238747554,0.000738844,3.165205831
0.240704501,0.000981502,4.204755074
0.242661448,0.001210639,5.186376893
0.244618395,0.001411408,6.046470475
0.246575342,0.001570443,6.727777206
0.24853229,0.001676812,7.18346259
0.250489237,0.001722793,7.380447258
0.252446184,0.00170445,7.301864929
0.254403131,0.001622006,6.948675771
0.256360078,0.00148009,6.340706674
0.258317025,0.001288036,5.51794535
0.260273973,0.001060802,4.544476369
0.26223092,0.000822228,3.52242281
0.264187867,0.000615506,2.636826964
0.266144814,0.000519948,2.227457716
0.268101761,0.00059286,2.539814368
0.270058708,0.000768227,3.291084547
0.272015656,0.000964666,4.132628547
0.273972603,0.001142994,4.896587693
0.27592955,0.001286515,5.511428544
0.277886497,0.001388999,5.95046959
0.279843444,0.001450466,6.213797612
0.281800391,0.001475347,6.320387012
0.283757339,0.001471139,6.302357794
0.285714286,0.001446938,6.198682616
0.287671233,0.001411668,6.047586373
0.28962818,0.001372149,5.878285099
0.291585127,0.001331505,5.704167435
0.293542074,0.001288558,5.520183436
0.295499022,0.001238538,5.305898281
0.297455969,0.001174818,5.032919642
0.299412916,0.00109093,4.673542496
0.301369863,0.000982218,4.207821565
0.30332681,0.000846849,3.62790038
0.305283757,0.000686228,2.939802508
0.307240705,0.000505066,2.163700692
0.309197652,0.000311768,1.335612053
0.311154599,0.000126416,0.541565151
0.313111546,0.000126897,0.543624652
0.315068493,0.000293552,1.257577972
0.31702544,0.000448053,1.919460025
0.318982387,0.000570907,2.445765508
0.320939335,0.000653589,2.799975991
0.322896282,0.000690978,2.96014861
0.324853229,0.000680948,2.917179505
0.326810176,0.000624497,2.675347
0.328767123,0.000526075,2.25370444
0.33072407,0.00039484,1.691495386
0.332681018,0.000251956,1.079378605
0.334637965,0.00017692,0.757926884
0.336594912,0.000282061,1.208350693
0.338551859,0.000460684,1.973569611
0.340508806,0.000645076,2.763506567
0.342465753,0.000814698,3.490165678
0.344422701,0.000958682,4.106992846
0.346379648,0.001070067,4.584165441
0.348336595,0.001144821,4.904413583
0.350293542,0.001181613,5.062030275
0.352250489,0.00118163,5.062102446
0.354207436,0.001148287,4.919262342
0.356164384,0.001086781,4.655771139
0.358121331,0.001003481,4.298911309
0.360078278,0.000905172,3.877758395
0.362035225,0.000798209,3.419526139
0.363992172,0.000687652,2.945902429
0.365949119,0.000576597,2.470141529
0.367906067,0.000465929,1.996039388
0.369863014,0.000354837,1.520122443
0.371819961,0.000242624,1.039402814
0.373776908,0.000135844,0.581953876
0.375733855,9.94E-05,0.425865301
0.377690802,0.000198935,0.852238871
0.37964775,0.000335325,1.436533093
0.381604697,0.000478339,2.049203202
0.383561644,0.000618063,2.647780048
0.385518591,0.000746662,3.198700821
0.387475538,0.000856807,3.670560429
0.389432485,0.000941857,4.0349165
0.391389432,0.000996307,4.268181087
0.39334638,0.001016208,4.353436179
0.395303327,0.000999494,4.281833871
0.397260274,0.000946185,4.053455905
0.399217221,0.000858453,3.677613454
0.401174168,0.00074059,3.172686953
0.403131115,0.000598944,2.56587416
0.405088063,0.000442161,1.894216725
