cycles/px,mtf,lp/mm
0,1,2337.766667
0.001956947,0.996085992,2328.616629
0.003913894,0.984436618,2301.383111
0.005870841,0.965326479,2256.708066
0.007827789,0.939202238,2195.635686
0.009784736,0.906666615,2119.574991
0.011741683,0.868456985,2030.249792
0.01369863,0.825419507,1929.638209
0.015655577,0.778479909,1819.904382
0.017612524,0.728612193,1703.325299
0.019569472,0.676806577,1582.215856
0.021526419,0.624038012,1458.855264
0.023483366,0.571236561,1335.417791
0.025440313,0.519260787,1213.910558
0.02739726,0.468875162,1096.120724
0.029354207,0.42073227,983.5738765
0.031311155,0.375360341,877.5048941
0.033268102,0.333156401,778.8419295
0.035225049,0.294385034,688.2035188
0.037181996,0.259182509,605.9082293
0.039138943,0.227565778,531.9956898
0.04109589,0.199445639,466.2573658
0.043052838,0.174643203,408.2750583
0.045009785,0.15290869,357.4648395
0.046966732,0.133941509,313.1239944
0.048923679,0.117410575,274.4785294
0.050880626,0.102973886,240.7289176
0.052837573,0.090296428,211.0919785
0.054794521,0.079065681,184.8371124
0.056751468,0.069004112,161.3155129
0.058708415,0.059878277,139.9814406
0.060665362,0.051504344,120.4051396
0.062622309,0.043750084,102.2774885
0.064579256,0.036533586,85.40699871
0.066536204,0.029819196,69.7103224
0.068493151,0.023611481,55.19813282
0.070450098,0.017948564,41.95955567
0.072407045,0.01289779,30.15202243
0.074363992,0.008562654,20.01748709
0.076320939,0.005137915,12.01124699
0.078277886,0.00313908,7.338437485
0.080234834,0.003152455,7.369703793
0.082191781,0.003989301,9.326055081
0.084148728,0.00455316,10.64422641
0.086105675,0.004598419,10.75003042
0.088062622,0.004153353,9.709569403
0.090019569,0.003390584,7.926395209
0.091976517,0.002723081,6.36592766
0.093933464,0.002885318,6.745199721
0.095890411,0.004034265,9.431170224
0.097847358,0.005607214,13.10835894
0.099804305,0.007214728,16.86634955
0.101761252,0.008650341,20.22247974
0.1037182,0.009786041,22.87747941
0.105675147,0.010539252,24.6383117
0.107632094,0.010863746,25.39690254
0.109589041,0.010746407,25.12259215
0.111545988,0.010204827,23.85650373
0.113502935,0.009284315,21.70456272
0.115459883,0.008054192,18.82882273
0.11741683,0.006604009,15.43863249
0.119373777,0.005041883,11.78674704
0.121330724,0.003502917,8.189002428
0.123287671,0.002203619,5.151546877
0.125244618,0.00162254,3.793120995
0.127201566,0.002033279,4.753332987
0.129158513,0.002730415,6.383073545
0.13111546,0.003281272,7.670848513
0.133072407,0.003569199,8.343953987
0.135029354,0.003574733,8.356890777
0.136986301,0.003323256,7.768997599
0.138943249,0.002874966,6.721000152
0.140900196,0.002331925,5.451496703
0.142857143,0.001866604,4.363684757
0.14481409,0.00172708,4.037510275
0.146771037,0.00200685,4.691548162
0.148727984,0.002499052,5.842200029
0.150684932,0.002992114,6.99486552
0.152641879,0.003375411,7.890922906
0.154598826,0.003602963,8.42288587
0.156555773,0.003671349,8.582758162
0.15851272,0.003613572,8.447688926
0.160469667,0.003497524,8.176395184
0.162426614,0.003418352,7.991309114
0.164383562,0.003469682,8.111307134
0.166340509,0.003694094,8.635929038
0.168297456,0.00405654,9.483243352
0.170254403,0.004471021,10.45220355
0.17221135,0.004843095,11.32202492
0.174168297,0.005093322,11.9069974
0.176125245,0.005164085,12.0724265
0.178082192,0.005020173,11.73599389
0.180039139,0.004647845,10.86557781
0.181996086,0.004053505,9.476149117
0.183953033,0.003262214,7.626296085
0.18590998,0.002317059,5.416743125
0.187866928,0.001288065,3.011194368
0.189823875,0.000479245,1.120362341
0.191780822,0.001138701,2.662016701
0.193737769,0.002127433,4.973442559
0.195694716,0.003018981,7.057673796
0.197651663,0.003738864,8.74059183
0.199608611,0.004244016,9.921519003
0.201565558,0.004508762,10.54043397
0.203522505,0.00452387,10.57575147
0.205479452,0.004296474,10.04415431
0.207436399,0.003849533,8.999308949
0.209393346,0.003220816,7.529517286
0.211350294,0.002462445,5.756622805
0.213307241,0.001645815,3.847531423
0.215264188,0.00090694,2.120214987
0.217221135,0.000716076,1.674018145
0.219178082,0.001220008,2.852092974
0.221135029,0.001779829,4.160825696
0.223091977,0.002203328,5.150867489
0.225048924,0.00243614,5.695126673
0.227005871,0.00245789,5.745973515
0.228962818,0.002268627,5.303520375
0.230919765,0.001887076,4.411542603
0.232876712,0.001355706,3.16932368
0.234833659,0.000785038,1.83523636
0.236790607,0.000663689,1.551549204
0.238747554,0.001267258,2.962553042
0.240704501,0.002017455,4.71633849
0.242661448,0.002729698,6.381397853
0.244618395,0.003333798,7.793640992
0.246575342,0.003784291,8.846788688
0.24853229,0.004050464,9.46904013
0.250489237,0.004115371,9.620776984
0.252446184,0.003975894,9.294711557
