cycles/px,mtf,lp/mm
0,1,3190
0.001956947,0.997460226,3181.898122
0.003913894,0.989893614,3157.760629
0.005870841,0.977456413,3118.085957
0.007827789,0.960402864,3063.685137
0.009784736,0.939076229,2995.653171
0.011741683,0.913896785,2915.330743
0.01369863,0.885347314,2824.257933
0.015655577,0.853956727,2724.12196
0.017612524,0.820282502,2616.701182
0.019569472,0.784892703,2503.807723
0.021526419,0.748348315,2387.231126
0.023483366,0.711186616,2268.685305
0.025440313,0.67390624,2149.760905
0.02739726,0.63695451,2031.884887
0.029354207,0.600717491,1916.288797
0.031311155,0.565513091,1803.986762
0.033268102,0.531587403,1695.763815
0.035225049,0.49911431,1592.174648
0.037181996,0.468198241,1493.55239
0.039138943,0.43887979,1400.026529
0.04109589,0.411143768,1311.548618
0.043052838,0.384929155,1227.924004
0.045009785,0.36014029,1148.847525
0.046966732,0.336658613,1073.940976
0.048923679,0.314354266,1002.79011
0.050880626,0.293096908,934.9791378
0.052837573,0.272765192,870.120964
0.054794521,0.253254486,807.8818098
0.056751468,0.234482543,747.9993125
0.058708415,0.216392997,690.2936595
0.060665362,0.198956659,634.6717406
0.062622309,0.182170751,581.1246952
0.064579256,0.166056287,529.719557
0.066536204,0.150653908,480.5859662
0.068493151,0.136018533,433.8991192
0.070450098,0.122213246,389.8602559
0.072407045,0.109302835,348.6760441
0.074363992,0.097347402,310.5382127
0.076320939,0.086396458,275.6047026
0.078277886,0.076483845,243.9834668
0.080234834,0.06762378,215.7198598
0.082191781,0.059808251,190.7883209
0.084148728,0.053005894,169.0888014
0.086105675,0.047162411,150.44809
0.088062622,0.04220247,134.6258789
0.090019569,0.038032936,121.3250655
0.091976517,0.034547163,110.205449
0.093933464,0.031630005,100.8997175
0.095890411,0.029163173,93.03052211
0.097847358,0.027030569,86.2275148
0.099804305,0.02512333,80.14342232
0.101761252,0.023344332,74.4684176
0.1037182,0.021611966,68.94217043
0.105675147,0.019863023,63.36304324
0.107632094,0.018054553,57.59402322
0.109589041,0.016164642,51.56520829
0.111545988,0.01419217,45.27302115
0.113502935,0.012155761,38.77687626
0.115459883,0.01009248,32.19501156
0.11741683,0.008057511,25.70345991
