cycles/px,mtf,lp/mm
0,1,2759.733333
0.001956947,0.994512239,2744.588577
0.003913894,0.978203612,2699.581114
0.005870841,0.951532036,2625.974679
0.007827789,0.915240828,2525.820621
0.009784736,0.870329833,2401.878251
0.011741683,0.818016882,2257.508457
0.01369863,0.759691313,2096.545439
0.015655577,0.696861663,1923.152359
0.017612524,0.631099872,1741.667353
0.019569472,0.563984467,1556.446734
0.021526419,0.497045199,1371.712205
0.023483366,0.431711495,1191.408604
0.025440313,0.369266861,1019.078064
0.02739726,0.310811037,857.7555794
0.029354207,0.257231301,709.8897967
0.031311155,0.209183813,577.2915421
0.033268102,0.167085372,461.1110719
0.035225049,0.131115352,361.8434064
0.037181996,0.101226924,279.3593158
0.039138943,0.07716603,212.9576641
0.04109589,0.058496076,161.4335708
0.043052838,0.04462706,123.1587853
0.045009785,0.034851484,96.1808011
0.046966732,0.028395059,78.36278955
0.048923679,0.024484849,67.57165349
0.050880626,0.022409733,61.84488621
0.052837573,0.021538209,59.43971214
0.054794521,0.021306349,58.79984145
0.056751468,0.021218777,58.55816575
0.058708415,0.020870296,57.596451
0.060665362,0.019967908,55.10610157
0.062622309,0.018341204,50.61683118
0.064579256,0.015942227,43.99629475
0.066536204,0.012842202,35.44105375
0.068493151,0.009245155,25.51416254
0.070450098,0.005628581,15.53338151
0.072407045,0.003746441,10.33917895
0.074363992,0.005888805,16.25153179
0.076320939,0.00931389,25.70385322
0.078277886,0.012496191,34.48615561
0.080234834,0.015006181,41.4130586
0.082191781,0.016641551,45.92624165
0.084148728,0.017302892,47.75136788
0.086105675,0.016971307,46.8362824
0.088062622,0.015701093,43.33083035
0.090019569,0.013614614,37.57270452
0.091976517,0.010900373,30.08212251
0.093933464,0.007830035,21.60880766
0.095890411,0.004885157,13.48173089
0.097847358,0.003426427,9.456024467
0.099804305,0.004858671,13.40863613
0.101761252,0.007240362,19.98146706
0.1037182,0.00936261,25.83830692
0.105675147,0.010872574,30.00540624
0.107632094,0.011629943,32.09554041
0.109589041,0.011588163,31.98023891
0.111545988,0.010768035,29.71690395
0.113502935,0.009247125,25.51959982
0.115459883,0.007152954,19.74024451
0.11741683,0.004665273,12.87490884
0.119373777,0.002118932,5.847687543
0.121330724,0.001763278,4.866177247
0.123287671,0.004147983,11.44732687
0.125244618,0.006519486,17.99204316
0.127201566,0.008493741,23.44046045
0.129158513,0.009926134,27.39348386
0.13111546,0.010734918,29.62551025
0.133072407,0.010887576,30.04680596
0.135029354,0.01039819,28.6962304
0.136986301,0.009324807,25.73398181
0.138943249,0.00776604,21.4321992
0.140900196,0.005859982,16.17198712
0.142857143,0.003802729,10.49451713
0.14481409,0.002027111,5.594286415
0.146771037,0.002011397,5.550918556
0.148727984,0.003521758,9.719113106
0.150684932,0.005039082,13.90652254
0.152641879,0.006200905,17.11284501
0.154598826,0.006891972,19.02000504
0.156555773,0.007069507,19.50995547
0.15851272,0.006738966,18.59774819
0.160469667,0.005948911,16.41740692
0.162426614,0.004792608,13.22632129
0.164383562,0.003428841,9.462687902
0.166340509,0.002205957,6.087853811
0.168297456,0.002018232,5.569780943
0.170254403,0.003062118,8.450628955
0.17221135,0.004365895,12.04870486
0.174168297,0.005498077,15.17322596
0.176125245,0.006295826,17.37480095
0.178082192,0.006678967,18.43216685
0.180039139,0.006615329,18.25654419
0.181996086,0.006114288,16.87380514
0.183953033,0.005228205,14.42845024
0.18590998,0.004065942,11.22091624
0.187866928,0.002857636,7.886312103
0.189823875,0.002198736,6.067925668
0.191780822,0.002801252,7.730708683
0.193737769,0.004107302,11.33505948
0.195694716,0.005477039,15.11516689
0.197651663,0.006650654,18.35403215
0.199608611,0.00749855,20.69399913
0.201565558,0.007946042,21.92895658
