cycles/px,mtf,lp/mm
0,1,2694.333333
0.001956947,0.997674791,2688.068444
0.003913894,0.99074148,2669.387795
0.005870841,0.979325721,2638.629934
0.007827789,0.963632646,2596.34756
0.009784736,0.943940595,2543.29061
0.011741683,0.920592628,2480.383405
0.01369863,0.89398614,2408.696657
0.015655577,0.864560912,2329.415285
0.017612524,0.832786038,2243.803183
0.019569472,0.799146181,2153.166193
0.021526419,0.764127651,2058.814601
0.023483366,0.728204837,1962.026567
0.025440313,0.691827497,1864.013887
0.02739726,0.655409428,1765.89147
0.029354207,0.619318998,1668.65182
0.031311155,0.583871958,1573.145679
0.033268102,0.549326875,1480.069711
0.035225049,0.515883388,1389.961809
0.037181996,0.483683333,1303.204126
0.039138943,0.45281459,1220.033444
0.04109589,0.423317299,1140.55791
0.043052838,0.395191887,1064.778674
0.045009785,0.368408231,992.6145761
0.046966732,0.342915182,923.9278057
0.048923679,0.318649715,858.5485488
0.050880626,0.295545051,796.2968813
0.052837573,0.273537295,737.0006519
0.054794521,0.252570324,680.5086438
0.056751468,0.23259886,626.698861
0.058708415,0.21358985,575.4822532
0.060665362,0.195522404,526.8025297
0.062622309,0.178386577,480.6329019
0.064579256,0.162181361,436.9706461
0.066536204,0.146912159,395.8303283
0.068493151,0.132588054,357.2364131
0.070450098,0.119219038,321.2158284
0.072407045,0.1068134,287.7909038
0.074363992,0.095375339,256.9729552
0.076320939,0.084902886,228.7566762
0.078277886,0.07538615,203.1154165
0.080234834,0.06680591,179.99739
0.082191781,0.059132577,159.3228729
0.084148728,0.052325568,140.9825215
0.086105675,0.046333192,124.8370647
0.088062622,0.04109319,110.7187528
0.090019569,0.036534087,98.43500781
0.091976517,0.032577481,87.77459298
0.093933464,0.02914125,78.51624236
0.095890411,0.026143428,70.43910827
0.097847358,0.023506305,63.33381993
0.099804305,0.021160223,57.01269543
0.101761252,0.019046595,51.31787598
0.1037182,0.017119916,46.12675979
0.105675147,0.015348808,41.35480433
0.107632094,0.013716277,36.95622363
0.109589041,0.012219396,32.92312639
0.111545988,0.010868401,29.28309417
0.113502935,0.009684749,26.09394091
0.115459883,0.008696938,23.43244865
0.11741683,0.007932392,21.37250688
0.119373777,0.007404976,19.95147478
0.121330724,0.007102278,19.1359054
0.123287671,0.006981316,18.80999217
0.125244618,0.006977538,18.7998132
0.127201566,0.007021195,18.91743881
0.129158513,0.007051083,18.99796792
0.13111546,0.007021366,18.91790014
0.133072407,0.006903009,18.59900689
0.135029354,0.006682702,18.00542572
0.136986301,0.006361115,17.13896477
0.138943249,0.005951286,16.0347476
0.140900196,0.005477359,14.75783225
0.142857143,0.004973655,13.40068546
0.14481409,0.004483605,12.08032592
0.146771037,0.004057156,10.93133172
0.148727984,0.003743683,10.08673011
0.150684932,0.003577898,9.64004963
0.152641879,0.003564081,9.60282312
0.154598826,0.00367337,9.897283754
0.156555773,0.003859319,10.3982928
0.15851272,0.004077416,10.98591688
0.160469667,0.004295547,11.5736348
0.162426614,0.00449544,12.11221365
0.164383562,0.004669808,12.58202014
0.166340509,0.004818289,12.98207729
0.168297456,0.004943423,13.31923026
0.170254403,0.005047233,13.59892797
0.17221135,0.00512882,13.81874975
0.174168297,0.00518328,13.96548491
0.176125245,0.005201975,14.01585476
0.178082192,0.00517386,13.94010261
0.180039139,0.005087391,13.7071263
0.181996086,0.004932501,13.28980252
0.183953033,0.004702281,12.66951212
0.18590998,0.004394165,11.83934391
0.187866928,0.004010579,10.80583754
0.189823875,0.00355909,9.589375366
0.191780822,0.003052145,8.223497151
0.193737769,0.002506596,6.75360468
0.195694716,0.00194335,5.236032598
0.197651663,0.001388284,3.740499918
0.199608611,0.000879552,2.369804966
0.201565558,0.000511849,1.379092515
0.203522505,0.000513925,1.384684686
0.205479452,0.000778414,2.09730688
0.207436399,0.001050047,2.829175303
0.209393346,0.001261766,3.399616964
0.211350294,0.001400169,3.772520704
0.213307241,0.001468117,3.955597914
0.215264188,0.001478078,3.982434991
0.217221135,0.001450391,3.907837197
0.219178082,0.001411634,3.803412778
0.221135029,0.001390464,3.746374813
0.223091977,0.001409309,3.797147023
0.225048924,0.001475112,3.974442537
0.227005871,0.001577202,4.249507831
0.228962818,0.001694346,4.565132063
0.230919765,0.001803789,4.860008962
0.232876712,0.001886657,5.083282458
0.234833659,0.001929791,5.199500858
0.236790607,0.001925842,5.188859726
0.238747554,0.001872733,5.045766224
0.240704501,0.001772924,4.776847628
0.242661448,0.00163258,4.39871519
0.244618395,0.001460694,3.935595845
0.246575342,0.001268213,3.416988901
0.24853229,0.001067309,2.875685403
0.250489237,0.000871038,2.346866175
0.252446184,0.000693937,1.869696557
0.254403131,0.000554164,1.493103461
0.256360078,0.000475116,1.280120049
0.258317025,0.000474893,1.279520085
0.260273973,0.000545458,1.469646697
0.26223092,0.000661947,1.783506115
0.264187867,0.00080512,2.169261137
0.266144814,0.000963742,2.596642406
0.268101761,0.00112966,3.04368144
0.270058708,0.001294862,3.488790567
0.272015656,0.00145069,3.908641101
0.273972603,0.001588137,4.278969456
0.27592955,0.001698567,4.57650439
0.277886497,0.001774505,4.781108136
0.279843444,0.001810357,4.877703972
0.281800391,0.001802968,4.857796815
0.283757339,0.001752014,4.720509768
0.285714286,0.001660198,4.473127652
0.287671233,0.001533288,4.13119007
0.28962818,0.001380014,3.71821807
0.291585127,0.001211863,3.265162294
0.293542074,0.001042746,2.80950647
0.295499022,0.000888269,2.3932928
0.297455969,0.000763682,2.057613577
0.299412916,0.000679087,1.829687533
0.301369863,0.000632971,1.705435242
0.30332681,0.000611067,1.646417438
0.305283757,0.000594385,1.601471444
0.307240705,0.000568693,1.532249818
0.309197652,0.000529351,1.42624781
0.311154599,0.000483629,1.303057873
0.313111546,0.000452834,1.220085708
0.315068493,0.000467476,1.259535652
0.31702544,0.000544144,1.46610435
0.318982387,0.000670694,1.807072526
0.320939335,0.000823356,2.218394509
0.322896282,0.000981695,2.645013071
0.324853229,0.001130738,3.046584486
0.326810176,0.001259871,3.394511716
0.328767123,0.001362088,3.669920353
0.33072407,0.001433706,3.862881978
0.332681018,0.001474229,3.972063635
0.334637965,0.001486165,4.004223488
0.336594912,0.001474636,3.973162016
0.338551859,0.001446669,3.897808733
0.340508806,0.001410072,3.799202965
0.342465753,0.001371919,3.696407443
0.344422701,0.001336891,3.602029972
0.346379648,0.001306003,3.518806475
0.348336595,0.001276324,3.43884352
0.350293542,0.001241878,3.346032519
0.352250489,0.001195296,3.220524642
0.354207436,0.001129562,3.043415347
0.356164384,0.001039331,2.800304356
0.358121331,0.000921688,2.483335259
0.360078278,0.000776417,2.091925549
0.362035225,0.000605936,1.632592594
0.363992172,0.000415088,1.118386377
0.365949119,0.000211517,0.569898286
0.367906067,4.68E-05,0.126068202
0.369863014,0.00022336,0.601805401
0.371819961,0.000423751,1.141727327
0.373776908,0.000609238,1.641491024
0.375733855,0.000772632,2.08172882
0.377690802,0.000909328,2.450032948
0.37964775,0.00101687,2.739786856
0.381604697,0.001094986,2.950258044
0.383561644,0.001145511,3.086389226
0.385518591,0.001172099,3.158026269
0.387475538,0.001179689,3.178475112
0.389432485,0.001173715,3.162380523
0.391389432,0.001159141,3.123112793
0.39334638,0.001139484,3.070150891
0.395303327,0.001116128,3.007219784
0.397260274,0.001088172,2.931898264
0.399217221,0.001052921,2.836919768
0.401174168,0.001006821,2.7127113
0.403131115,0.000946558,2.55034332
0.405088063,0.00087005,2.344204332
0.40704501,0.000777254,2.094182397
0.409001957,0.000670934,1.807718734
0.410958904,0.0005578,1.502898152
0.412915851,0.000450965,1.21504902
0.414872798,0.000374138,1.008053657
0.416829746,0.000358078,0.964781236
0.418786693,0.000409823,1.104200708
0.42074364,0.000501794,1.352000581
0.422700587,0.00060563,1.631768814
0.424657534,0.000705114,1.899812699
0.426614481,0.000792245,2.134573297
