cycles/px,mtf,lp/mm
0,1,2742.266667
0.001956947,0.995993075,2731.27861
0.003913894,0.98406897,2698.579534
0.005870841,0.96451415,2644.955003
0.007827789,0.937794392,2571.682301
0.009784736,0.904537824,2480.483924
0.011741683,0.865512221,2373.465313
0.01369863,0.821597535,2253.039533
0.015655577,0.773754848,2121.842128
0.017612524,0.722993065,1982.639783
0.019569472,0.670334754,1838.23665
0.021526419,0.61678256,1691.382254
0.023483366,0.563287599,1544.684806
0.025440313,0.510721108,1400.533471
0.02739726,0.459850533,1261.032788
0.029354207,0.411321024,1127.951933
0.031311155,0.365643119,1002.690937
0.033268102,0.323187124,886.2652776
0.035225049,0.284184417,779.3094536
0.037181996,0.248735518,682.0991192
0.039138943,0.216824319,594.5901022
0.04109589,0.188337308,516.471123
0.043052838,0.163086052,447.2254436
0.045009785,0.140830701,386.1953376
0.046966732,0.121302097,332.6426977
0.048923679,0.104220263,285.7997539
0.050880626,0.089307857,244.9059602
0.052837573,0.076298305,209.2302982
0.054794521,0.064939607,178.081719
0.056751468,0.054995773,150.8130741
0.058708415,0.046248125,126.8246928
0.060665362,0.038498184,105.5722854
0.062622309,0.031572641,86.58060204
0.064579256,0.025329669,69.46070585
0.066536204,0.01966505,53.92681242
0.068493151,0.014517409,39.81060814
0.070450098,0.009875875,27.0822839
0.072407045,0.005815676,15.94813387
0.074363992,0.002795889,7.667073395
0.076320939,0.002896085,7.941836252
0.078277886,0.005003871,13.72194921
0.080234834,0.006955299,19.07328466
0.082191781,0.00841369,23.07258122
0.084148728,0.009331297,25.58890339
0.086105675,0.009732738,26.68976436
0.088062622,0.009686351,26.56255845
0.090019569,0.009297652,25.49664044
0.091976517,0.008704717,23.87065444
0.093933464,0.008067873,22.12425838
0.095890411,0.007544043,20.68777901
0.097847358,0.007239187,19.85178023
0.099804305,0.007159153,19.63230644
0.101761252,0.007206738,19.76279773
0.1037182,0.007234463,19.83882718
0.105675147,0.007104507,19.48245235
0.107632094,0.006721389,18.43184167
0.109589041,0.006042772,16.57089097
0.111545988,0.005086171,13.94763772
0.113502935,0.00395491,10.84541831
0.115459883,0.002945747,8.078024663
0.11741683,0.002748483,7.537072781
0.119373777,0.003729702,10.22783804
0.121330724,0.005290471,14.50788264
0.123287671,0.006963676,19.09625747
0.125244618,0.008531855,23.39662046
0.127201566,0.009870484,27.06749997
0.129158513,0.010898326,29.88611568
0.13111546,0.011564811,31.71379672
0.133072407,0.011846552,32.48640378
0.135029354,0.011745616,32.20961139
0.136986301,0.011287495,30.95332238
0.138943249,0.010518174,28.84363696
0.140900196,0.009500283,26.05231063
0.142857143,0.008308606,22.78441252
0.14481409,0.007025417,19.26556718
0.146771037,0.005736553,15.73115782
0.148727984,0.004529732,12.42173308
0.150684932,0.003497576,9.591286338
0.152641879,0.002744959,7.527409856
0.154598826,0.002375779,6.515020221
0.156555773,0.002409341,6.607054538
0.15851272,0.002734579,7.49894368
0.160469667,0.003225888,8.846245669
0.162426614,0.003814104,10.45929107
0.164383562,0.004462347,12.23694633
0.166340509,0.005136127,14.08462948
0.168297456,0.005792002,15.88321288
0.170254403,0.006378355,17.49114945
0.17221135,0.00684094,18.75968097
0.174168297,0.007129219,19.55022055
0.176125245,0.007201913,19.74956679
0.178082192,0.007031322,19.28176016
0.180039139,0.006606466,18.11669272
0.181996086,0.005935404,16.27645988
0.183953033,0.005047754,13.84228795
0.18590998,0.004000808,10.97128183
0.187866928,0.002902585,7.959660731
0.189823875,0.002007808,5.505944826
0.191780822,0.001879429,5.153896526
0.193737769,0.002626322,7.202075937
0.195694716,0.003655946,10.0255775
0.197651663,0.004648024,12.74612055
0.199608611,0.005475609,15.01558099
0.201565558,0.006074827,16.65879428
0.203522505,0.006412065,17.58359343
0.205479452,0.006475491,17.75752409
0.207436399,0.006272024,17.19956114
0.209393346,0.005825388,15.97476678
0.211350294,0.005174188,14.18900361
0.213307241,0.004370059,11.98386621
0.215264188,0.003476928,9.534663227
0.217221135,0.002574894,7.06104558
0.219178082,0.001780657,4.883035381
0.221135029,0.001304256,3.576618308
0.223091977,0.001352335,3.708463773
0.225048924,0.001712443,4.695974245
0.227005871,0.002084602,5.716535372
0.228962818,0.002350306,6.445164708
0.230919765,0.002481344,6.804506264
0.232876712,0.002490474,6.829543692
0.234833659,0.002417266,6.628786607
0.236790607,0.002321361,6.365789703
0.238747554,0.002269904,6.224681635
0.240704501,0.002311299,6.338197166
0.242661448,0.002448087,6.713306637
0.244618395,0.002638443,7.235315584
0.246575342,0.002823653,7.74320946
0.24853229,0.002951991,8.095147218
0.250489237,0.002988788,8.196054849
0.252446184,0.00291906,8.004842214
0.254403131,0.002748598,7.537388584
0.256360078,0.002506149,6.87252948
0.258317025,0.002247338,6.162799783
0.260273973,0.002055307,5.63620061
0.26223092,0.002017218,5.531749594
0.264187867,0.002163475,5.932825154
0.266144814,0.002439125,6.688730665
0.268101761,0.002753756,7.551534287
0.270058708,0.003029734,8.30833932
0.272015656,0.00321366,8.812711505
0.273972603,0.003273973,8.978106378
0.27592955,0.003198266,8.770497723
0.277886497,0.002992702,8.206785776
0.279843444,0.002683981,7.360191793
0.281800391,0.002325301,6.376594687
0.283757339,0.002007074,5.503932731
0.285714286,0.001855254,5.08760122
0.287671233,0.001959503,5.373479097
0.28962818,0.002275963,6.24129882
0.291585127,0.002682188,7.355274634
0.293542074,0.003073439,8.428189291
0.295499022,0.003381255,9.272302058
0.297455969,0.003563784,9.772844805
0.299412916,0.003598099,9.866947461
0.301369863,0.003476291,9.532915669
0.30332681,0.003203246,8.784154051
0.305283757,0.00279488,7.664306842
0.307240705,0.002276276,6.242154737
0.309197652,0.001679565,4.605815753
0.311154599,0.001041625,2.856413582
0.313111546,0.000402456,1.103641443
0.315068493,0.000213038,0.584208254
0.31702544,0.000744073,2.040445797
0.318982387,0.001179198,3.233674259
0.320939335,0.001492915,4.093970901
0.322896282,0.001671896,4.584783381
0.324853229,0.001713202,4.698055399
0.326810176,0.001625176,4.456666202
0.328767123,0.001429215,3.919288198
0.33072407,0.001165107,3.195033897
0.332681018,0.000908065,2.49015587
0.334637965,0.00079609,2.183091659
0.336594912,0.000934175,2.561755621
0.338551859,0.001226684,3.363895638
0.340508806,0.001543644,4.233082426
0.342465753,0.001814985,4.977172768
0.344422701,0.002005889,5.500683757
0.346379648,0.002101753,5.763567287
0.348336595,0.002104779,5.771865879
0.350293542,0.002035145,5.580910465
0.352250489,0.001934004,5.30355429
0.354207436,0.00186371,5.11078903
0.356164384,0.001892701,5.190290931
0.358121331,0.002057924,5.643375993
0.360078278,0.002339951,6.416770289
0.362035225,0.00268357,7.359063916
0.363992172,0.00302991,8.308820715
0.365949119,0.003330658,9.133551714
0.367906067,0.003550192,9.73557358
0.369863014,0.003664698,10.04957809
0.371819961,0.003661168,10.03989784
0.373776908,0.003536572,9.698224712
0.375733855,0.003296973,9.041178283
0.377690802,0.0029564,8.107237116
0.37964775,0.002535435,6.952839039
0.381604697,0.0020595,5.647698958
0.383561644,0.001556964,4.269611642
