cycles/px,mtf,lp/mm
0,1,3655.466667
0.001956947,0.997331422,3645.711769
0.003913894,0.989375859,3616.630473
0.005870841,0.976282227,3568.767139
0.007827789,0.958293468,3503.009827
0.009784736,0.935738885,3420.562301
0.011741683,0.909023857,3322.906408
0.01369863,0.878617324,3211.75634
0.015655577,0.845037547,3089.006585
0.017612524,0.808836704,2956.675612
0.019569472,0.770584917,2816.847478
0.021526419,0.730854321,2671.613608
0.023483366,0.690203792,2523.016954
0.025440313,0.649164883,2373.000592
0.02739726,0.608229492,2223.362632
0.029354207,0.567839664,2075.718963
0.031311155,0.528379878,1931.47503
0.033268102,0.490171991,1791.807375
0.035225049,0.453472937,1657.655204
0.037181996,0.418475088,1529.721735
0.039138943,0.385309101,1408.484574
0.04109589,0.354048884,1294.213894
0.043052838,0.324718262,1186.996784
0.045009785,0.297298809,1086.765888
0.046966732,0.271738299,993.3302953
0.048923679,0.247959242,906.4067439
0.050880626,0.225867026,825.6493836
0.052837573,0.205357294,750.6767419
0.054794521,0.186322298,681.0949493
0.056751468,0.168656092,616.516723
0.058708415,0.152258533,556.5759903
0.060665362,0.137038129,500.9383113
0.062622309,0.122913839,449.30744
0.064579256,0.109815922,401.4284432
0.066536204,0.097685975,357.0878242
0.068493151,0.086476263,316.1110985
0.070450098,0.076148492,278.3582735
0.072407045,0.066672119,243.717708
0.074363992,0.058022376,212.0988606
0.076320939,0.05017813,183.4244814
0.078277886,0.043119754,157.6228232
0.080234834,0.036827157,134.6204451
0.082191781,0.031278119,114.3361205
0.084148728,0.026447028,96.67623057
0.086105675,0.022304072,81.53178994
0.088062622,0.018814805,68.7768938
0.090019569,0.015939935,58.26790173
0.091976517,0.013634996,49.84227204
0.093933464,0.011849693,43.31615615
0.095890411,0.010527088,38.48141941
0.097847358,0.009603569,35.10552773
0.099804305,0.009010892,32.93901686
0.101761252,0.008680562,31.73150605
0.1037182,0.008548937,31.25035398
0.105675147,0.008560772,31.29361708
0.107632094,0.008670193,31.6935997
0.109589041,0.008839692,32.3132011
0.111545988,0.009038346,33.03937124
0.113502935,0.009240089,33.77683599
0.115459883,0.009422449,34.4434482
0.11741683,0.009565781,34.96739387
0.119373777,0.009652953,35.28604853
0.121330724,0.009669402,35.34617516
0.123287671,0.00960346,35.10512943
0.125244618,0.009446866,34.53270487
0.127201566,0.009195328,33.61321439
0.129158513,0.008849046,32.34739134
0.13111546,0.008413076,30.75372055
0.133072407,0.007897453,28.86887539
0.135029354,0.007316994,26.74702833
0.136986301,0.006690773,24.45789626
0.138943249,0.006041213,22.08345364
0.140900196,0.005392819,19.71327077
0.142857143,0.004770501,17.43840817
0.14481409,0.004197491,15.34378916
0.146771037,0.003692889,13.49923129
0.148727984,0.003269165,11.95032407
0.150684932,0.0029305,10.71234335
0.152641879,0.002673266,9.772033544
0.154598826,0.00248941,9.099955198
0.156555773,0.002371475,8.668846773
0.15851272,0.002316165,8.466662263
0.160469667,0.002323725,8.494300119
0.162426614,0.002393248,8.748438557
0.164383562,0.002517328,9.202009352
0.166340509,0.002680049,9.796830072
0.168297456,0.002859138,10.45148542
0.170254403,0.003030086,11.07637973
0.17221135,0.003169955,11.58766445
0.174168297,0.003260075,11.91709658
