cycles/px,mtf,lp/mm
0,0.970113467,1619.510116
0.001956947,0.970515923,1620.181978
0.003913894,0.97170144,1622.161082
0.005870841,0.973605769,1625.340176
0.007827789,0.97612608,1629.547589
0.009784736,0.979126929,1634.557215
0.011741683,0.982447907,1640.101265
0.01369863,0.985912347,1645.88481
0.015655577,0.989336489,1651.601083
0.017612524,0.992538521,1656.946564
0.019569472,0.995347012,1661.635066
0.021526419,0.997608353,1665.410156
0.023483366,0.999192953,1668.05549
0.025440313,1,1669.402778
0.02739726,0.999960735,1669.337229
0.029354207,0.999040191,1667.800469
0.031311155,0.99723744,1664.790953
0.033268102,0.994584413,1660.361981
0.035225049,0.991143363,1654.617483
0.037181996,0.987003114,1647.70574
0.039138943,0.982274222,1639.811314
0.04109589,0.977083241,1631.145476
0.043052838,0.971566318,1621.935511
0.045009785,0.965862389,1612.413356
0.046966732,0.960106285,1602.804098
0.048923679,0.954422104,1593.314912
0.050880626,0.948917229,1584.125058
0.052837573,0.943677321,1575.377541
0.054794521,0.938762641,1567.172961
0.056751468,0.934205919,1559.565955
0.058708415,0.930011902,1552.564453
0.060665362,0.926158612,1546.13176
0.062622309,0.922600155,1540.191261
0.064579256,0.919270868,1534.63334
0.066536204,0.916090456,1529.323952
0.068493151,0.912969733,1524.114209
0.070450098,0.909816565,1518.850301
0.072407045,0.906541629,1513.383114
0.074363992,0.903063657,1507.576978
0.076320939,0.899313895,1501.317114
0.078277886,0.895239572,1494.515429
0.080234834,0.890806278,1487.114475
0.082191781,0.885999166,1479.089469
0.084148728,0.88082301,1470.448379
0.086105675,0.875301155,1461.23018
0.088062622,0.869473477,1451.501437
0.090019569,0.863393474,1441.351464
0.091976517,0.857124685,1430.886329
0.093933464,0.850736623,1420.222082
0.095890411,0.844300473,1409.477555
0.097847358,0.837884782,1398.767182
0.099804305,0.831551416,1388.194243
0.101761252,0.825352022,1377.844958
0.1037182,0.819325211,1367.783784
0.105675147,0.813494645,1358.05022
0.107632094,0.807868136,1348.657311
0.109589041,0.802437809,1339.591908
0.111545988,0.797181279,1330.816641
0.113502935,0.792063744,1322.273414
0.115459883,0.787040812,1313.888118
0.11741683,0.782061846,1305.576218
0.119373777,0.777073575,1297.248784
0.121330724,0.772023735,1288.818567
0.123287671,0.766864493,1280.205715
0.125244618,0.761555463,1271.342806
0.127201566,0.756066146,1262.178925
0.129158513,0.750377677,1252.682579
0.13111546,0.744483815,1242.843349
0.133072407,0.738391146,1232.672231
0.135029354,0.732118516,1222.200684
0.136986301,0.725695747,1211.478495
0.138943249,0.719161731,1200.570592
0.140900196,0.712562018,1189.553012
0.142857143,0.705946032,1178.508267
0.14481409,0.699364108,1167.520384
0.146771037,0.692864499,1156.669918
0.148727984,0.686490562,1146.029251
0.150684932,0.680278292,1135.65847
0.152641879,0.674254356,1125.602095
0.154598826,0.668434772,1115.886865
0.156555773,0.6628243,1106.520728
0.15851272,0.657416586,1097.493075
0.160469667,0.652195028,1088.776191
0.162426614,0.647134291,1080.327782
0.164383562,0.642202347,1072.094382
0.166340509,0.63736288,1064.015363
0.168297456,0.632577877,1056.027266
0.170254403,0.627810229,1048.068141
0.17221135,0.623026172,1040.081623
0.174168297,0.618197413,1032.020478
0.176125245,0.613302823,1023.849437
0.178082192,0.608329618,1015.547155
0.180039139,0.603273963,1007.107229
0.181996086,0.598140989,998.538229
0.183953033,0.59294425,989.8627784
0.18590998,0.587704644,981.1157655
0.187866928,0.582448895,972.3418031
0.189823875,0.577207681,963.5921067
0.191780822,0.572013538,954.9209886
0.193737769,0.566898655,946.3821899
0.195694716,0.561892733,938.0252889
0.197651663,0.557021009,929.8924202
0.199608611,0.552302618,922.0155251
0.201565558,0.54774937,914.4143195
0.203522505,0.543365045,907.0951158
0.205479452,0.539145249,900.0505756
0.207436399,0.53507782,893.2603987
0.209393346,0.53114377,886.6928847
0.211350294,0.527318662,880.3072392
0.213307241,0.523574334,874.0564473
0.215264188,0.519880829,867.8904994
0.217221135,0.516208402,861.7597404
0.219178082,0.512529468,855.6181169
0.221135029,0.508820355,849.4261141
0.223091977,0.505062778,843.1532046
0.225048924,0.501244926,836.7796724
0.227005871,0.497362127,830.2977168
0.228962818,0.493417045,823.7117859
0.230919765,0.489419418,817.038136
0.232876712,0.48538535,810.3036518
0.234833659,0.481336211,803.5440074
0.236790607,0.477297204,796.8012784
0.238747554,0.473295699,790.1211547
0.240704501,0.469359423,783.5499239
0.242661448,0.46551463,777.1314165
0.244618395,0.461784371,770.9041124
0.246575342,0.45818697,764.8986013
0.24853229,0.454734819,759.1355702
0.250489237,0.451433573,753.6244611
0.252446184,0.448281803,748.3628879
0.254403131,0.445271125,743.3368532
0.256360078,0.442386792,738.5217387
0.258317025,0.439608703,733.8839905
0.260273973,0.436912754,729.3833657
0.26223092,0.434272413,724.9755726
0.264187867,0.431660427,720.6151152
0.266144814,0.429050528,716.2581438
0.268101761,0.426419039,711.8651288
0.270058708,0.423746264,707.4031901
0.272015656,0.421017599,702.847949
0.273972603,0.418224297,698.1848032
0.27592955,0.415363849,693.4095639
0.277886497,0.412439969,688.5284306
0.279843444,0.409462191,683.5573191
0.281800391,0.406445107,678.5205906
