cycles/px,mtf,lp/mm
0,0.97484631,2431.402092
0.001956947,0.975198839,2432.281348
0.003913894,0.976236669,2434.869842
0.005870841,0.977901715,2439.022697
0.007827789,0.980100999,2444.508018
0.009784736,0.982712065,2451.020379
0.011741683,0.98558991,2458.198123
0.01369863,0.988574918,2465.643148
0.015655577,0.99150124,2472.9418
0.017612524,0.994205088,2479.685572
0.019569472,0.996532503,2485.490469
0.021526419,0.998346225,2490.014144
0.023483366,0.999531407,2492.970153
0.025440313,1,2494.138889
0.02739726,0.999693715,2493.374972
0.029354207,0.998585532,2490.611009
0.031311155,0.996679767,2485.857766
0.033268102,0.994010762,2479.200897
0.035225049,0.990640282,2470.794451
0.037181996,0.986653741,2460.851466
0.039138943,0.982155423,2449.632035
0.04109589,0.977262881,2437.429355
0.043052838,0.972100769,2424.554333
0.045009785,0.966794386,2411.319475
0.046966732,0.961463241,2398.022858
0.048923679,0.956215009,2384.93304
0.050880626,0.951140212,2372.275792
0.052837573,0.946307957,2360.223477
0.054794521,0.941763011,2348.887751
0.056751468,0.937524401,2338.316068
0.058708415,0.933585612,2328.492182
0.060665362,0.929916357,2319.340549
0.062622309,0.92646574,2310.734232
0.064579256,0.92316657,2302.505644
0.066536204,0.919940475,2294.459313
0.068493151,0.916703448,2286.385719
0.070450098,0.913371454,2278.075263
0.072407045,0.909865731,2269.331504
0.074363992,0.906117504,2259.982904
0.076320939,0.902071855,2249.892495
0.078277886,0.897690601,2238.965038
0.080234834,0.892954055,2227.151434
0.082191781,0.887861651,2214.450271
0.084148728,0.882431441,2200.906574
0.086105675,0.876698533,2186.607905
0.088062622,0.870712579,2171.678104
0.090019569,0.864534477,2156.26906
0.091976517,0.858232473,2140.550987
0.093933464,0.851877881,2124.701751
0.095890411,0.845540683,2108.8959
0.097847358,0.839285269,2093.294028
0.099804305,0.833166574,2078.033153
0.101761252,0.827226877,2063.218723
0.1037182,0.821493457,2048.918777
0.105675147,0.815977272,2035.160646
0.107632094,0.810672733,2021.930391
0.109589041,0.805558584,2009.174991
0.111545988,0.800599787,1996.807062
0.113502935,0.795750283,1984.711726
0.115459883,0.790956387,1972.755084
0.11741683,0.786160583,1960.793683
0.119373777,0.781305448,1948.684303
