cycles/px,mtf,lp/mm
0,0.971617335,1922.191957
0.001956947,0.972001462,1922.951892
0.003913894,0.973132951,1925.190366
0.005870841,0.974950372,1928.785846
0.007827789,0.977355357,1933.543731
0.009784736,0.980218275,1939.207563
0.011741683,0.98338548,1945.473381
0.01369863,0.986687608,1952.00612
0.015655577,0.98994831,1958.456906
0.017612524,0.992992904,1964.480156
0.019569472,0.995656464,1969.74959
0.021526419,0.997790983,1973.9724
0.023483366,0.999271354,1976.901082
0.025440313,1,1978.342593
0.02739726,0.999910063,1978.164666
0.029354207,0.998967136,1976.299234
0.031311155,0.997169557,1972.743007
0.033268102,0.994547314,1967.555312
0.035225049,0.991159661,1960.853373
0.037181996,0.987091543,1952.805242
0.039138943,0.982448992,1943.620686
0.04109589,0.977353646,1933.540346
0.043052838,0.971936633,1922.823638
0.045009785,0.966332061,1911.735874
0.046966732,0.960670426,1900.535222
0.048923679,0.955072269,1889.460148
0.050880626,0.949642421,1878.71805
0.052837573,0.944465197,1868.475727
0.054794521,0.939600812,1858.852306
0.056751468,0.935083269,1849.915059
0.058708415,0.930919841,1841.678372
0.060665362,0.927092149,1834.105885
0.062622309,0.923558735,1827.115583
0.064579256,0.920258905,1820.587389
0.066536204,0.917117523,1814.372659
0.068493151,0.914050404,1808.304846
0.070450098,0.910969918,1802.210589
0.072407045,0.907790445,1795.920503
0.074363992,0.904433363,1789.279043
0.076320939,0.900831299,1782.152928
0.078277886,0.896931478,1774.437745
0.080234834,0.892698015,1766.062505
0.082191781,0.888113135,1756.992042
0.084148728,0.883177294,1747.227257
0.086105675,0.877908269,1736.803321
0.088062622,0.872339323,1725.786037
0.090019569,0.86651656,1714.266618
0.091976517,0.860495666,1702.355227
0.093933464,0.854338206,1690.173661
0.095890411,0.848107713,1677.847611
0.097847358,0.841865791,1665.498952
0.099804305,0.835668469,1653.238525
0.101761252,0.829563013,1641.159842
0.1037182,0.823585418,1629.334111
0.105675147,0.817758702,1617.806871
0.107632094,0.812092119,1606.596427
0.109589041,0.806581314,1595.694168
0.111545988,0.801209389,1585.06666
0.113502935,0.795948767,1574.659347
0.115459883,0.790763706,1564.401521
0.11741683,0.785613264,1554.212181
0.119373777,0.780454484,1544.006347
0.121330724,0.775245591,1533.701373
0.123287671,0.769948983,1523.222866
0.125244618,0.764533822,1512.509824
0.127201566,0.758978105,1501.518712
0.129158513,0.753270077,1490.226278
0.13111546,0.747408949,1478.630957
0.133072407,0.741404881,1466.752854
0.135029354,0.735278271,1454.632321
0.136986301,0.729058389,1442.327264
0.138943249,0.722781463,1429.909353
0.140900196,0.716488329,1417.459378
0.142857143,0.710221805,1405.062048
0.14481409,0.704023949,1392.800564
0.146771037,0.697933368,1380.751308
0.148727984,0.69198278,1368.979007
0.150684932,0.686196968,1357.532688
0.152641879,0.680591274,1346.442706
0.154598826,0.675170744,1335.719041
0.156555773,0.669929967,1325.350988
0.15851272,0.664853619,1315.308233
0.160469667,0.659917667,1305.543228
0.162426614,0.655091129,1295.994682
0.164383562,0.650338264,1286.591887
0.166340509,0.645621028,1277.259579
0.168297456,0.640901628,1267.922989
0.170254403,0.636145,1258.512748
0.17221135,0.631321059,1248.969341
0.174168297,0.626406599,1239.246854
0.176125245,0.62138671,1229.315794
0.178082192,0.616255679,1219.164858
0.180039139,0.611017305,1208.80156
0.181996086,0.605684634,1198.251709
0.183953033,0.600279137,1187.557784
0.18590998,0.594829382,1176.776303
0.187866928,0.58936928,1165.97435
0.189823875,0.583936004,1155.225468
0.191780822,0.578567712,1144.605146
0.193737769,0.573301203,1134.186188
0.195694716,0.568169663,1124.034244
0.197651663,0.563200635,1114.203804
0.199608611,0.558414356,1104.734905
