cycles/px,mtf,lp/mm
0,0.97361241,2428.324574
0.001956947,0.973979027,2429.238968
0.003913894,0.975058514,2431.93136
0.005870841,0.976790993,2436.252403
0.007827789,0.979080591,2441.962976
0.009784736,0.981800975,2448.747992
0.011741683,0.984802453,2456.234096
0.01369863,0.987920085,2464.009904
0.015655577,0.990982256,2471.647383
0.017612524,0.993819163,2478.723024
0.019569472,0.996270777,2484.837688
0.021526419,0.998193893,2489.634206
0.023483366,0.999468031,2492.812083
0.025440313,1,2494.138889
0.02739726,0.999727044,2493.458099
0.029354207,0.998618532,2490.693315
0.031311155,0.996676211,2485.848897
0.033268102,0.993933081,2479.007151
0.035225049,0.990450959,2470.322255
0.037181996,0.986316854,2460.011221
0.039138943,0.98163829,2448.342235
0.04109589,0.976537767,2435.620822
0.043052838,0.971146562,2422.174406
0.045009785,0.965598154,2408.335908
0.046966732,0.960021583,2394.427165
0.048923679,0.954535067,2380.743032
0.050880626,0.949240259,2367.537045
0.052837573,0.944217474,2355.009521
0.054794521,0.939522201,2343.298858
0.056751468,0.93518312,2332.476587
0.058708415,0.931201753,2322.546506
0.060665362,0.927553752,2313.447884
0.062622309,0.924191691,2305.062436
0.064579256,0.921049136,2297.224467
0.066536204,0.918045666,2289.733396
0.068493151,0.915092469,2282.367713
0.070450098,0.912098126,2274.899407
0.072407045,0.908974221,2267.107953
0.074363992,0.905640439,2258.793037
0.076320939,0.902028915,2249.785395
0.078277886,0.898087628,2239.955277
0.080234834,0.893782721,2229.218242
0.082191781,0.889099703,2217.538145
0.084148728,0.884043519,2204.927321
0.086105675,0.878637553,2191.444091
0.088062622,0.872921647,2177.187826
0.090019569,0.866949276,2162.291903
0.091976517,0.860784045,2146.914962
0.093933464,0.854495702,2131.230962
0.095890411,0.848155893,2115.418596
0.097847358,0.841833895,2099.650654
0.099804305,0.835592586,2084.083963
0.101761252,0.829484885,2068.850509
0.1037182,0.823550883,2054.050284
0.105675147,0.817815844,2039.7463
0.107632094,0.8122892,2025.962082
0.109589041,0.806964582,2012.681746
0.111545988,0.801820871,1999.852616
0.113502935,0.79682416,1987.390124
0.115459883,0.791930471,1975.184586
0.11741683,0.787089019,1963.10933
0.119373777,0.782245768,1951.02959
0.121330724,0.777347063,1938.811541
0.123287671,0.772343084,1926.330921
0.125244618,0.767190924,1913.480719
0.127201566,0.761857142,1900.177526
0.129158513,0.756319644,1886.366235
0.13111546,0.750568838,1872.022928
0.133072407,0.744608023,1857.155827
0.135029354,0.738453009,1841.804368
0.136986301,0.732131036,1826.036489
0.138943249,0.725679043,1809.944323
0.140900196,0.71914142,1793.638581
0.142857143,0.712567353,1777.241947
0.14481409,0.706007942,1760.881865
0.146771037,0.699513232,1744.683156
0.148727984,0.693129363,1728.7609
0.150684932,0.686895995,1713.214015
0.152641879,0.680844179,1698.119945
0.154598826,0.6749948,1683.530781
0.156555773,0.669357696,1669.47106
0.15851272,0.663931499,1655.93737
0.160469667,0.65870419,1642.899737
0.162426614,0.653654326,1630.304674
0.164383562,0.64875281,1618.079613
0.166340509,0.643965099,1606.138397
0.168297456,0.639253653,1594.387395
0.170254403,0.63458047,1582.731828
0.17221135,0.629909542,1571.081886
0.174168297,0.625209067,1559.358246
0.176125245,0.620453294,1547.496689
0.178082192,0.615623924,1535.45157
0.180039139,0.610710976,1523.197994
0.181996086,0.605713109,1510.732621
0.183953033,0.600637405,1498.07311
0.18590998,0.59549863,1485.256292
0.187866928,0.590318048,1472.3352
0.189823875,0.585121862,1459.37519
0.191780822,0.579939387,1446.449379
0.193737769,0.574801074,1433.633712
0.195694716,0.569736499,1421.001959
0.197651663,0.564772461,1408.620958
0.199608611,0.559931299,1396.546427
0.201565558,0.555229543,1384.819596
0.203522505,0.550676987,1373.464889
0.205479452,0.546276231,1362.488791
0.207436399,0.542022729,1351.879967
0.209393346,0.537905323,1341.610585
0.211350294,0.533907209,1331.638734
0.213307241,0.530007264,1321.911728
0.215264188,0.526181621,1312.370044
0.217221135,0.522405392,1302.951604
0.219178082,0.51865439,1293.596084
0.221135029,0.514906765,1284.248988
0.223091977,0.511144425,1274.865189
0.225048924,0.507354169,1265.411765
0.227005871,0.503528467,1255.869932
0.228962818,0.499665845,1246.236015
0.230919765,0.495770862,1236.521387
0.232876712,0.491853693,1226.751423
0.234833659,0.487929342,1216.963546
0.236790607,0.484016544,1207.204486
0.238747554,0.480136434,1197.526953
0.240704501,0.47631105,1187.985914
0.242661448,0.472561793,1178.634745
0.244618395,0.468907924,1169.521489
0.246575342,0.465365217,1160.685486
0.24853229,0.461944844,1152.154601
0.250489237,0.458652583,1143.943243
0.252446184,0.455488394,1136.051317
0.254403131,0.452446403,1128.464169
0.256360078,0.449515275,1121.153527
0.258317025,0.446678956,1114.079355
0.260273973,0.443917731,1107.192476
0.26223092,0.441209503,1100.437778
0.264187867,0.438531211,1093.757747
0.266144814,0.435860291,1087.096102
0.268101761,0.433176074,1080.401291
0.270058708,0.430461032,1073.6296
0.272015656,0.42770181,1066.747718
0.273972603,0.424889967,1059.734591
0.27592955,0.422022398,1052.582474
0.277886497,0.419101411,1045.297127
0.279843444,0.41613447,1037.897165
0.281800391,0.413133608,1030.412598
0.283757339,0.410114556,1022.882664
0.285714286,0.407095648,1015.353087
0.287671233,0.404096554,1007.872929
0.28962818,0.401136939,1000.491238
0.291585127,0.39823512,993.2536995
0.293542074,0.395406818,986.1995216
0.295499022,0.392664082,979.3587563
0.297455969,0.390014465,972.7502434
0.299412916,0.387460508,966.3803208
0.301369863,0.384999565,960.2423875
0.30332681,0.38262398,954.3173473
0.305283757,0.3803216,948.5748925
0.307240705,0.37807659,942.9755268
0.309197652,0.375870477,937.4731744
