cycles/px,mtf,lp/mm
0,0.974515338,2430.576603
0.001956947,0.974865303,2431.449462
0.003913894,0.975896017,2434.020206
0.005870841,0.977551064,2438.148126
0.007827789,0.979740056,2443.607774
0.009784736,0.982343759,2450.101772
0.011741683,0.985220696,2457.277253
0.01369863,0.988214699,2464.744712
0.015655577,0.991162912,2472.097965
0.017612524,0.99390375,2478.933995
0.019569472,0.996284374,2484.871601
0.021526419,0.998167352,2489.568011
0.023483366,0.999436254,2492.732828
0.025440313,1,2494.138889
0.02739726,0.999795895,2493.629822
0.029354207,0.998791294,2491.124209
0.031311155,0.99698393,2486.616392
0.033268102,0.994400934,2480.174041
0.035225049,0.991096646,2471.932687
0.037181996,0.98714931,2462.087484
0.039138943,0.982656802,2450.882545
0.04109589,0.977731544,2438.598268
0.043052838,0.972494833,2425.537183
0.045009785,0.967070812,2412.00892
0.046966732,0.961580374,2398.315005
0.048923679,0.956135307,2384.734252
0.050880626,0.95083299,2371.509537
0.052837573,0.945751962,2358.836748
0.054794521,0.940948624,2346.856555
0.056751468,0.936455279,2335.64953
0.058708415,0.932279639,2325.234902
0.060665362,0.928405778,2315.572956
0.062622309,0.924796469,2306.570839
0.064579256,0.92139667,2298.091267
0.066536204,0.9181379,2289.963442
0.068493151,0.914943178,2281.995363
0.070450098,0.911732168,2273.986657
0.072407045,0.908426208,2265.741134
0.074363992,0.904952926,2257.078286
0.076320939,0.901250202,2247.843177
0.078277886,0.897269289,2237.914228
0.080234834,0.892976992,2227.208643
0.082191781,0.88835683,2215.685316
0.084148728,0.883409194,2203.345224
0.086105675,0.878150542,2190.229417
0.088062622,0.872611722,2176.414831
0.090019569,0.866835544,2162.008241
0.091976517,0.860873763,2147.13873
0.093933464,0.85478365,2131.949142
0.095890411,0.848624363,2116.587026
0.097847358,0.842453319,2101.195585
0.099804305,0.836322793,2085.905203
0.101761252,0.83027695,2070.82603
0.1037182,0.82434948,2056.042097
0.105675147,0.818561996,2041.607308
0.107632094,0.812923266,2027.543531
0.109589041,0.807429327,2013.840884
0.111545988,0.802064439,2000.460109
0.113502935,0.796802794,1987.336835
0.115459883,0.791610827,1974.38735
0.11741683,0.786449967,1961.515446
0.119373777,0.781279597,1948.619827
0.121330724,0.776060053,1935.601559
0.123287671,0.77075543,1922.371093
0.125244618,0.765336049,1908.854403
0.127201566,0.759780432,1894.997922
0.129158513,0.754076688,1880.771992
0.13111546,0.748223245,1866.172692
0.133072407,0.742228908,1851.221985
0.135029354,0.736112258,1835.966208
0.136986301,0.729900432,1820.473053
0.138943249,0.723627395,1804.827227
0.140900196,0.717331776,1789.12508
0.142857143,0.711054442,1773.468537
0.14481409,0.704835932,1757.958708
0.146771037,0.69871393,1742.689586
0.148727984,0.692720944,1727.742246
0.150684932,0.686882324,1713.179917
0.152641879,0.681214777,1699.044267
0.154598826,0.675725456,1685.353138
0.156555773,0.670411701,1672.099896
0.15851272,0.665261426,1659.254395
0.160469667,0.660254129,1646.765501
0.162426614,0.655362437,1634.564941
0.164383562,0.650554071,1622.572207
0.166340509,0.645794084,1610.700138
0.168297456,0.641047225,1598.860814
0.170254403,0.63628026,1586.97134
0.17221135,0.631464107,1574.959185
0.174168297,0.626575667,1562.766737
0.176125245,0.621599237,1550.35483
0.178082192,0.616527439,1537.705062
0.180039139,0.611361626,1524.820806
0.181996086,0.60611174,1511.726863
0.183953033,0.600795662,1498.467826
0.18590998,0.595438073,1485.105253
0.187866928,0.590068911,1471.713819
0.189823875,0.584721522,1458.376687
0.191780822,0.57943059,1445.180367
0.193737769,0.574230002,1432.209378
0.195694716,0.569150762,1419.541049
0.197651663,0.564219092,1407.24078
0.199608611,0.559454846,1395.358087
0.201565558,0.554870339,1383.923691
0.203522505,0.550469679,1372.947835
0.205479452,0.546248634,1362.41996
0.207436399,0.542195039,1352.309733
0.209393346,0.538289724,1342.569335
0.211350294,0.534507864,1333.136851
0.213307241,0.53082067,1323.940476
0.215264188,0.52719729,1314.903263
0.217221135,0.52360679,1305.948057
0.219178082,0.520020084,1297.002315
0.221135029,0.516411695,1288.002491
0.223091977,0.512761238,1278.897744
0.225048924,0.509054553,1269.652758
0.227005871,0.505284428,1260.249543
0.228962818,0.501450874,1250.688125
0.230919765,0.497560957,1240.986133
0.232876712,0.493628207,1231.177308
0.234833659,0.489671627,1221.309048
0.236790607,0.485714386,1211.439139
0.238747554,0.481782261,1201.631873
0.240704501,0.477901927,1191.953782
0.242661448,0.474099204,1182.469262
0.244618395,0.470397363,1173.236357
0.246575342,0.466815612,1164.302972
0.24853229,0.463367852,1155.70378
0.250489237,0.460061795,1147.458015
0.252446184,0.456898498,1139.568312
0.254403131,0.453872341,1132.020657
0.256360078,0.450971456,1124.785446
0.258317025,0.448178553,1117.819559
0.260273973,0.445472099,1111.069286
0.26223092,0.442827741,1104.473889
0.264187867,0.440219885,1097.969534
0.266144814,0.437623317,1091.493333
0.268101761,0.435014755,1084.987217
0.270058708,0.432374241,1078.40141
0.272015656,0.429686293,1071.697295
0.273972603,0.426940742,1064.849507
0.27592955,0.424133223,1057.847165
0.277886497,0.421265302,1050.694171
0.279843444,0.418344222,1043.408593
0.281800391,0.415382307,1036.021166
0.283757339,0.41239605,1028.573026
0.285714286,0.409404949,1021.112805
0.287671233,0.406430161,1013.69327
0.28962818,0.403493052,1006.367711
0.291585127,0.400613744,999.1863191
0.293542074,0.397809749,992.192766
0.295499022,0.395094773,985.4212392
0.297455969,0.392477788,978.8941144
0.299412916,0.389962419,972.6204347
0.301369863,0.387546701,966.595298
0.30332681,0.385223211,960.8001903
0.305283757,0.382979567,955.2042312
0.307240705,0.380799256,949.7662323
0.309197652,0.378662718,944.4374108
0.311154599,0.376548621,939.1645588
0.313111546,0.374435219,933.8934421
0.315068493,0.372301721,928.5721998
0.31702544,0.370129557,923.1545231
0.318982387,0.367903497,917.6024188
0.320939335,0.365612517,911.8883972
0.322896282,0.363250407,905.9969653
0.324853229,0.360816054,899.9253522
0.326810176,0.35831342,893.683436
0.328767123,0.355751195,887.2928899
0.33072407,0.353142164,880.785604
0.332681018,0.350502326,874.2014828
0.334637965,0.347849815,867.5857504
0.336594912,0.345203683,860.9859296
0.338551859,0.342582639,854.448683
0.340508806,0.340003807,848.0167169
0.342465753,0.337481588,841.7259527
0.344422701,0.335026714,835.6031563
0.346379648,0.332645545,829.6641888
0.348336595,0.330339663,823.9130007
0.350293542,0.328105801,818.3414375
0.352250489,0.325936086,812.9298665
0.354207436,0.323818603,807.6485705
0.356164384,0.321738217,802.4598002
0.358121331,0.319677599,797.3203318
0.360078278,0.317618375,792.1843416
0.362035225,0.315542331,787.0063993
0.363992172,0.313432576,781.7443772
0.365949119,0.311274603,776.3620924
0.367906067,0.309057176,770.8315215
0.369863014,0.306772997,765.134462
0.371819961,0.304419115,759.2635531
0.373776908,0.301997058,753.2226076
0.375733855,0.299512689,747.0262446
0.377690802,0.296975786,740.698856
0.37964775,0.294399391,734.2729695
0.381604697,0.291798951,727.7871103
0.383561644,0.289191309,721.2832904
0.385518591,0.286593614,714.8042791
0.387475538,0.284022206,708.3908287
0.389432485,0.281491555,702.0790334
0.391389432,0.279013331,695.8979993
0.39334638,0.276595658,689.8679862
0.395303327,0.274242607,683.9991506
0.397260274,0.271953973,678.2909798
0.399217221,0.269725338,672.7324548
0.401174168,0.267548423,667.3029255
0.403131115,0.265411694,661.9736275
0.405088063,0.263301185,656.709724
0.40704501,0.261201461,651.4727208
0.409001957,0.25909667,646.2230794
0.410958904,0.256971595,640.9228482
0.412915851,0.25481265,635.5381393
0.414872798,0.252608745,630.0412944
0.416829746,0.250351982,624.4126146
0.418786693,0.248038134,618.641557
0.42074364,0.245666888,612.7273379
0.422700587,0.243241834,606.6789174
0.424657534,0.240770223,600.5143753
0.426614481,0.238262481,594.2597187
0.428571429,0.235731538,587.9471959
0.430528376,0.233191993,581.6132176
0.432485323,0.230659172,575.2960101
0.43444227,0.22814814,569.0331486
0.436399217,0.225672728,562.8591261
0.438356164,0.223244633,556.8031211
0.440313112,0.220872671,550.8871174
0.442270059,0.218562211,545.1245092
0.444227006,0.216314856,539.5192936
0.446183953,0.214128376,534.0659086
0.4481409,0.211996906,528.7497278
0.450097847,0.209911394,523.5481709
0.452054795,0.207860254,518.432343
0.454011742,0.205830189,513.3690777
0.455968689,0.203807108,508.3232331
0.457925636,0.201777086,503.2600772
0.459882583,0.19972729,498.1476008
0.46183953,0.197646816,492.9586105
0.463796477,0.195527393,487.6724738
0.465753425,0.193363899,482.276419
0.467710372,0.19115468,476.7663209
0.469667319,0.188901644,471.146936
0.471624266,0.18661013,465.4315818
0.473581213,0.184288567,459.6412823
0.47553816,0.18194794,453.8034328
0.477495108,0.179601089,447.9500603
0.479452055,0.177261893,442.115782
0.481409002,0.174944381,436.3355836
0.483365949,0.172661819,430.6425562
0.485322896,0.17042585,425.0657403
0.487279843,0.168245732,419.6282236
0.489236791,0.166127729,414.3456293
0.491193738,0.164074707,409.2251077
0.493150685,0.162085965,404.2649093
0.495107632,0.160157308,399.4545714
0.497064579,0.158281364,394.7757051
0.499021526,0.156448112,390.2033197
0.500978474,0.15464559,385.7075791
0.502935421,0.152860717,381.2558582
0.504892368,0.151080178,376.814947
0.506849315,0.149291304,372.3532468
0.508806262,0.147482892,367.8428169
0.510763209,0.145645915,363.2611416
0.512720157,0.143774079,358.5925216
0.514677104,0.141864198,353.8290137
0.516634051,0.139916377,348.9708769
0.518590998,0.137933982,344.0265096
0.520547945,0.135923419,339.0118864
0.522504892,0.133893719,333.9495306
0.52446184,0.13185596,328.8670784
0.526418787,0.129822568,323.7955159
0.528375734,0.127806511,318.7671885
0.530332681,0.125820459,313.8137006
0.532289628,0.123875956,308.9638388
0.534246575,0.121982645,304.2416578
0.536203523,0.120147626,299.664866
0.53816047,0.118374977,295.2436324
0.540117417,0.11666548,290.9799115
0.542074364,0.115016586,286.8673408
0.544031311,0.113422602,282.8917233
0.545988258,0.111875107,279.0320543
0.547945205,0.110363545,275.2620098
0.549902153,0.108875964,271.5517765
0.5518591,0.107399825,267.8700801
0.553816047,0.105922836,264.1862649
0.555772994,0.104433751,260.4722786
0.557729941,0.102923073,256.704439
0.559686888,0.10138364,252.8648789
0.561643836,0.09981104,248.9425977
0.563600783,0.098203862,244.9340707
0.56555773,0.096563747,240.8433973
0.567514677,0.094895272,236.6819882
0.569471624,0.093205642,232.4678154
0.571428571,0.091504233,228.224266
0.573385519,0.089802,223.9786593
0.575342466,0.088110773,219.7605051
0.577299413,0.0864425,215.5996004
0.57925636,0.084808459,211.5240766
0.581213307,0.083218511,207.5585247
0.583170254,0.081680427,203.7223291
0.585127202,0.080199359,200.0283405
0.587084149,0.078777487,196.4819948
0.589041096,0.077413877,193.0809602
0.590998043,0.076104561,189.8153454
0.59295499,0.074842847,186.6684551
0.594911937,0.073619809,183.6180299
0.596868885,0.07242494,180.6378603
0.598825832,0.071246892,177.6996439
0.600782779,0.070074259,174.7749336
0.602739726,0.068896338,171.8370359
0.604696673,0.06770382,168.8627309
0.60665362,0.066489366,165.8337131
0.608610568,0.065248042,162.7376797
0.610567515,0.0639776,159.5690214
0.612524462,0.062678585,156.3290956
0.614481409,0.061354274,153.0260814
0.616438356,0.060010464,149.6744329
0.618395303,0.058655098,146.2939609
0.62035225,0.057297766,142.9085875
0.622309198,0.055949102,139.5448302
0.624266145,0.05462009,136.2300914
0.626223092,0.053321347,132.9908458
0.628180039,0.052062392,129.8508358
0.630136986,0.050850979,126.8294032
0.632093933,0.049692536,123.9400867
0.634050881,0.048589761,121.1896132
0.636007828,0.047542413,118.5773814
0.637964775,0.046547328,116.0954998
0.639921722,0.045598657,113.7293829
0.641878669,0.044688311,111.4588552
0.643835616,0.043806565,109.2596572
0.645792564,0.042942763,107.1052142
0.647749511,0.042086072,104.9685095
0.649706458,0.041226218,102.8239133
0.651663405,0.040354142,100.6488356
0.653620352,0.039462561,98.42510766
0.655577299,0.038546381,96.14002714
0.657534247,0.037602973,93.78703608
0.659491194,0.036632291,91.36602187
0.661448141,0.035636849,88.88325081
0.663405088,0.034621549,86.3509526
0.665362035,0.03359339,83.78658041
0.667318982,0.032561048,81.21177538
0.66927593,0.031534359,78.6510703
0.671232877,0.030523712,76.13037729
0.673189824,0.029539382,73.67532085
0.675146771,0.02859083,71.30950069
0.677103718,0.027686027,69.05279546
0.679060665,0.026830841,66.91984376
0.681017613,0.026028563,64.91885191
0.68297456,0.025279615,63.05087069
0.684931507,0.024581489,61.30964707
0.686888454,0.023928938,59.68209427
0.688845401,0.023314397,58.14934356
0.690802348,0.022728592,56.68826398
0.692759295,0.022161267,55.27327893
0.694716243,0.021601959,53.87828544
0.69667319,0.021040726,52.47849407
0.698630137,0.020468806,51.0520455
0.700587084,0.01987913,49.58131111
0.702544031,0.019266704,48.05383486
0.704500978,0.01862884,46.46291363
0.706457926,0.017965254,44.80783913
0.708414873,0.017278042,43.09383618
0.71037182,0.016571544,41.33173279
0.712328767,0.01585212,39.53739018
0.714285714,0.01512783,37.73090872
0.716242661,0.014408024,35.93561305
0.718199609,0.01370285,34.17680986
0.720156556,0.013022656,32.48031229
