cycles/px,mtf,lp/mm
0,1,3441.533333
0.001956947,0.997992924,3434.625916
0.003913894,0.992008802,3414.03136
0.005870841,0.982157732,3380.128574
0.007827789,0.968619204,3333.535278
0.009784736,0.951636254,3275.087891
0.011741683,0.931507609,3205.814486
0.01369863,0.908578117,3126.901875
0.015655577,0.883227856,3039.658107
0.017612524,0.855860329,2945.471851
0.019569472,0.826890214,2845.770234
0.021526419,0.796731144,2741.976791
0.023483366,0.765783996,2635.47115
0.025440313,0.734426139,2527.552039
0.02739726,0.703002072,2419.405064
0.029354207,0.67181581,2312.076504
0.031311155,0.641125312,2206.454134
0.033268102,0.611139141,2103.255724
0.035225049,0.582015438,2003.025531
0.037181996,0.553863182,1906.138602
0.039138943,0.526745538,1812.812327
0.04109589,0.500685022,1723.124193
0.043052838,0.475670063,1637.034377
0.045009785,0.451662492,1554.411521
0.046966732,0.428605453,1475.059953
0.048923679,0.406431233,1398.746637
0.050880626,0.385068571,1325.226323
0.052837573,0.364449079,1254.263655
0.054794521,0.344512518,1185.651313
0.056751468,0.325210756,1119.223657
0.058708415,0.30651036,1054.865622
0.060665362,0.288393821,992.5169471
0.062622309,0.270859501,932.1720005
0.064579256,0.253920444,873.8756725
0.066536204,0.237602206,817.715912
0.068493151,0.221939906,763.813583
0.070450098,0.206974714,712.3103758
0.072407045,0.192749998,663.355544
0.074363992,0.179307361,617.092261
0.076320939,0.166682793,573.6443874
0.078277886,0.154903171,533.1044267
0.080234834,0.143983323,495.5234061
0.082191781,0.133923837,460.903348
0.084148728,0.124709784,429.1928791
0.086105675,0.116310466,400.2863459
0.088062622,0.108680206,374.0265525
0.090019569,0.101760146,350.2109329
0.091976517,0.095480883,328.6006403
0.093933464,0.08976573,308.9317532
0.095890411,0.084534304,290.9276248
0.097847358,0.07970615,274.3113733
0.099804305,0.075204162,258.8176313
0.101761252,0.070957582,244.2028846
0.1037182,0.066904472,230.2539689
0.105675147,0.062993578,216.7944999
0.107632094,0.059185582,203.6891548
0.109589041,0.055453714,190.8458064
0.111545988,0.051783766,178.2155576
0.113502935,0.048173514,165.7907541
0.115459883,0.044631587,153.6010952
0.11741683,0.041175835,141.7080077
0.119373777,0.037831248,130.1975013
0.121330724,0.034627524,119.1717788
0.123287671,0.031596358,108.7399191
0.125244618,0.028768575,99.00800888
0.127201566,0.026171235,90.0691764
0.129158513,0.023824884,81.9941333
0.13111546,0.021741196,74.82305194
0.133072407,0.019921311,68.55985537
0.135029354,0.018355214,63.17008225
0.136986301,0.017022397,58.5831481
0.138943249,0.015893763,54.69891657
0.140900196,0.014934412,51.3972753
0.142857143,0.014106657,48.54853071
